text,text_zh,notebook_id
"The three most harmful addictions are heroin, carbohydrates, and a monthly salary.","三种最有害的成瘾是海洛因、碳水化合物和月薪。",28
"My only measure of success is how much time you have to kill.","我衡量成功的唯一标准是你有多少时间可以消磨。",28
"I wonder if a lion (or a cannibal) would pay a high premium for freerange humans.","我想知道狮子（或食人族）是否会为散养人类支付高价。",28
"If you need to listen to music while walking, don't walk; and please don't listen to music.","如果你走路时需要听音乐，那就别走路；也请别听音乐。",28
"Men destroy each other during war; themselves during peacetime.","男人在战争中摧毁彼此；在和平时期摧毁自己。",28
"Sports feminize men and masculinize women.","体育运动让男人女性化，让女人男性化。",28
"Technology can degrade (and endanger) every aspect of a sucker's life while convincing him that it is becoming more ""efficient.""","技术可以降低（并危及）傻瓜生活的方方面面，同时让他相信这变得更"高效"了。",28
"The difference between technology and slavery is that slaves are fully aware that they are not free.","技术与奴隶制的区别在于，奴隶完全知道自己不自由。",28
"You have a real life if and only if you do not compete with anyone in any of your pursuits.","当且仅当你在任何追求中都不与任何人竞争时，你才拥有真正的生活。",28
"With terminal disease, nature lets you die with abbreviated suffering; medicine lets you suffer with prolonged dying.","对于绝症，自然让你在短暂痛苦中死去；医学让你在延长的死亡中受苦。",28
"We are satisfied with natural (or old) objects like vistas or classical paintings but insatiable with technologies, amplifying small improvements in versions, obsessed about 2.0, caught in a mental treadmill.","我们对自然（或古老）的事物如风景或古典绘画感到满足，但对技术永不满足，放大版本中的微小改进，痴迷于2.0，陷入精神跑步机。",28
"Only in recent history has ""working hard"" signaled pride rather than shame for lack of talent, finesse, and, mostly, sprezzatura.","只有在近代历史中，"努力工作"才象征着骄傲，而不是因缺乏天赋、技巧，主要是优雅而感到羞耻。",28
"Their idea of the sabbatical is to work six days and rest for one; my idea of the sabbatical is to work for (part of) a day and rest for six.","他们的安息日理念是工作六天休息一天；我的安息日理念是工作（部分）一天休息六天。",28
"What they call ""play"" (gym, travel, sports) looks like work; the harder they try, the more captive they are.","他们所谓的"娱乐"（健身房、旅行、运动）看起来像工作；他们越努力，就越被束缚。",28
"Most modern efficiencies are deferred punishment.","大多数现代效率都是延迟的惩罚。",28
"We are hunters; we are only truly alive in those moments when we improvise; no schedule, just small surprises and stimuli from the environment.","我们是猎人；只有在即兴发挥的时刻我们才真正活着；没有时间表，只有来自环境的小惊喜和刺激。",28
"For everything, use boredom in place of a clock, as a biological wristwatch, though under constraints of politeness.","对于一切，用无聊代替时钟，作为生物手表，尽管受到礼貌的约束。",28
"Decomposition, for most, starts when they leave the free, social, and uncorrupted college life for the solitary confinement of professions and nuclear families.","对大多数人来说，腐朽始于他们离开自由、社交和纯洁的大学生活，进入职业和核心家庭的孤独禁闭。",28
"For a classicist, a competitive athlete is painful to look at; trying hard to become an animal rather than a man, he will never be as fast as a cheetah or as strong as an ox.","对古典主义者来说，竞技运动员看起来很痛苦；努力成为动物而不是人，他永远不会像猎豹那样快或像牛那样强壮。",28
"Skills that transfer: street fights, off-path hiking, seduction, broad erudition. Skills that don't: school, games, sports, laboratory—what's reduced and organized.","可转移的技能：街头打斗、越野徒步、诱惑、广博学识。不可转移的技能：学校、游戏、运动、实验室——被简化和组织的东西。",28
"You exist in full if and only if your conversation (or writings) cannot be easily reconstructed with clips from other conversations.","当且仅当你的对话（或写作）不能轻易用其他对话的片段重构时，你才完整存在。",28
"The English have random Mediterranean weather; but they go to Spain because their free hours aren't free.","英国人有随机的地中海天气；但他们去西班牙是因为他们的自由时间并不自由。",28
"For most, work and what comes with it have the eroding effect of chronic injury.","对大多数人来说，工作及其附带的东西具有慢性伤害的侵蚀作用。",28
"Technology is at its best when it is invisible.","技术在不可见时最好。",28
"The difference between true life and modern life equals the one between a conversation and bilateral recitations.","真实生活与现代生活的区别等同于对话与双边背诵的区别。",28
"When I look at people on treadmills I wonder how alpha lions, the strongest, expend the least amount of energy, sleeping twenty hours a day; others hunt for them.","当我看到跑步机上的人时，我想知道最强壮的雄狮如何消耗最少的能量，每天睡二十小时；其他狮子为它们狩猎。",28
"Every social association that is not face-to-face is injurious to your health.","每一种非面对面的社交联系都对你的健康有害。",28
